"Activities","ID","Created Date","Updated Date","Owner","Image Of Activities","Title Of Activities","Description Of Activities","Activities (Item)"
"Biking","025606ec-0bf8-42cf-8568-b409933236c1",2025-04-06T22:31:14Z,2025-04-06T22:32:52Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_c15806d052dd4d8eb47202ccffda741f~mv2.jpeg/Bike%20Trail.jpeg#originWidth=3500&originHeight=1829","<h2 class=""font_2"">Top Treatment Centers for Biking</h2>","<p class=""font_7"">Check out our Activities selected list of centers offering treatment for Golf, Hiking, Massage, and more.</p>","/activities/biking"
"Golf","0c045d92-d9fc-4572-9d4d-00f081e66b8e",2025-01-28T15:40:25Z,2025-02-11T12:05:49Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/42c00842d85f7255737bc7583141da8c.jpg/Golfing.jpg#originWidth=400&originHeight=267","<h2 class=""font_2"">Top Treatment Centers for Golf</h2>","<p class=""font_7"">Check out our Activities selected list of centers offering treatment for Golf, Hiking, Massage, and more.</p>","/activities/golf"
"Sightseeing","107012b9-3cb2-40df-9eac-218fe5ae4d13",2025-04-07T14:54:05Z,2025-04-07T14:54:55Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/b22e6dfb3664405480977771f4f12116.jpg/Tour%20Bus.jpg#originWidth=3466&originHeight=2311","<h2 class=""font_2"">Top Treatment Centers for Sightseeing</h2>","<p class=""font_7"">Check out our Activities selected list of centers offering treatment for Golf, Hiking, Massage, and more.</p>","/activities/sightseeing"
"Massage","1bee6612-6a69-4d6d-85c3-c9e0eef53ce4",2025-01-28T15:41:03Z,2025-02-11T12:06:03Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_177185bfee2142c3af10a392bc5109c1~mv2.jpg/Head%20Massage.jpg#originWidth=7313&originHeight=4000","<h2 class=""font_2"">Top Treatment Centers for Massage</h2>","<p class=""font_7"">Check out our Activities selected list of centers offering treatment for Golf, Hiking, Massage, and more.</p>","/activities/massage"
"Swimming","30ddad54-199a-4871-9724-78c045479043",2025-02-19T20:57:17Z,2025-02-19T21:00:21Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_a8510cbacd50467fb75730fcb3a65b9b~mv2.jpeg/Swimming.jpeg#originWidth=6000&originHeight=4000","<h2 class=""font_2"">Top Treatment Centers for Swimming</h2>","<p class=""font_8"">Check out our Activities selected list of centers offering treatment for Golf, Hiking, Massage, and more.</p>","/activities/swiming"
"Fishing","3a977d9f-4836-49a9-aa19-1a865fc4d3f3",2025-01-28T15:40:13Z,2025-02-11T12:05:46Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_469194f8936e4ee3b33556fdbdf7ef57~mv2.jpeg/Fishing.jpeg#originWidth=5472&originHeight=3648","<h2 class=""font_2"">Top Treatment Centers for Fishing</h2>","<p class=""font_7"">Check out our Activities selected list of centers offering treatment for Golf, Hiking, Massage, and more.</p>","/activities/fishing"
"Acupuncture","3aababe9-c8a6-48fe-ab49-8cd2c815dd1f",2025-01-28T15:40:00Z,2025-02-11T12:05:44Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_c68e38daea8e456a97d5d3e94032c6ac~mv2.jpeg/Acupuncture%20Close%20Up.jpeg#originWidth=4917&originHeight=3200","<h2 class=""font_2"">Top Treatment Centers for Acupuncture</h2>","<p class=""font_7"">Check out our Activities selected list of centers offering treatment for Golf, Hiking, Massage, and more.</p>","/activities/acupuncture"
"Safari","3c324cc4-a378-4486-a803-4a49098e5265",2025-01-28T15:41:14Z,2025-02-11T12:06:07Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_4ed71e30b24e45bfa12d57c8cbbb52d3~mv2_d_5863_3920_s_4_2.jpg/Safari%20Sunrise.jpg#originWidth=5863&originHeight=3920","<h2 class=""font_2"">Top Treatment Centers for Safari</h2>","<p class=""font_7"">Check out our Activities selected list of centers offering treatment for Golf, Hiking, Massage, and more.</p>","/activities/safari"
"AA/NA Meetings","4500fbe8-3324-4f35-be30-78d857260df3",2025-01-28T15:39:45Z,2025-02-11T12:05:41Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_db47d82eeb394153bc00867e9165ba7c~mv2.jpeg/Brainstorm.jpeg#originWidth=5141&originHeight=3427","<h2 class=""font_2"">Top Treatment Centers for AA/NA Meetings</h2>","<p class=""font_7"">Check out our Activities selected list of centers offering treatment for Golf, Hiking, Massage, and more.</p>","/activities/aa%2Fna-meetings"
"Martial Arts","49750bc4-6a17-4894-90bd-2a2935d40a1f",2025-01-28T15:40:59Z,2025-02-11T12:06:00Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_1902d3c65de14c15979a2778aa4b0c7e~mv2.jpg/Martial%20Arts%20Practice.jpg#originWidth=6463&originHeight=4448","<h2 class=""font_2"">Top Treatment Centers for Martial Arts</h2>","<p class=""font_7"">Check out our Activities selected list of centers offering treatment for Golf, Hiking, Massage, and more.</p>","/activities/martial-arts"
