"Title","ID","Created Date","Updated Date","Owner","Image of Amenities","Title of Amenities","Description of Amenities","Amenities (Item)"
"Private Rooms","07d958ad-ba1b-46a9-89eb-edc256af87d0",2025-01-28T15:28:31Z,2025-02-16T13:32:50Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/086bf6df5f8c4eca8bd85bba2e40de56.jpg/Wooden%20Floor.jpg#originWidth=4288&originHeight=2848","<h2 class=""font_2"">Top Treatment Centers For Private Rooms</h2>","<p class=""font_7"">Check out our carefully selected list of centers offering treatment for addiction and mental health issues, including depression, anxiety, trauma, and more.</p>","/amenities/private-rooms"
"Pool","0d35c4e4-dc48-46e4-95fc-440a08bb2947",2025-01-28T15:28:23Z,2025-02-16T13:32:53Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_45009d9ba00a4d4894a25f95857c9803~mv2.jpg/Swimmers%20in%20Pool.jpg#originWidth=6272&originHeight=4388","<h2 class=""font_2"">Top Treatment Centers For Pool</h2>","<p class=""font_7"">Check out our carefully selected list of centers offering treatment for addiction and mental health issues, including depression, anxiety, trauma, and more.</p>","/amenities/pool"
"Theater","1f7ca049-633b-4eb5-94e0-908cc86f3659",2025-02-19T21:04:57Z,2025-02-19T21:09:22Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d",,"<h2 class=""font_2"">Top Treatment Centers For Theater</h2>","<p class=""font_7"">Check out our handpicked selection of centers offering treatment for addiction and mental health issues, including depression, anxiety, trauma, and more.</p>","/amenities/theater"
"Transportation Assistance","20a033d3-c682-4281-9370-ba76988f8d2c",2025-02-19T22:59:04Z,2025-02-19T22:59:19Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d",,"<h2 class=""font_2"">Top Treatment Centers For Transportation Assistance</h2>","<p class=""font_7"">Check out our carefully selected list of centers offering treatment for addiction and mental health issues, including depression, anxiety, trauma, and more.</p>","/amenities/transportation-assistance"
"Ocean View","20b957b0-2fcc-4569-96de-8faa629529ae",2025-02-19T22:51:33Z,2025-02-19T22:54:26Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d",,"<h2 class=""font_2"">Top Treatment Centers For Ocean View</h2>","<p class=""font_7"">Check out our carefully selected list of centers offering treatment for addiction and mental health issues, including depression, anxiety, trauma, and more.</p>","/amenities/ocean-view"
"Access to Nature","2df9e5fb-6a61-4c6c-8ebc-313b421ec3e9",2025-02-19T21:03:22Z,2025-02-19T21:11:29Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_ee4f1bb802f944a78d37c283bed438d6~mv2.jpg/Nature%20Reserve.jpg#originWidth=2048&originHeight=1365","<h2 class=""font_2"">Top Treatment Centers For Access to Nature</h2>","<p class=""font_7"">Check out our handpicked selection of centers offering treatment for addiction and mental health issues, including depression, anxiety, trauma, and more.</p>","/amenities/access-to-nature"
"Spa","2f08e1f3-3109-4500-bdc1-799f4e79070a",2025-01-28T15:28:40Z,2025-02-16T13:32:47Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_f78c3007472047b7991f8740148aebd0~mv2.jpeg/Luxury%20Spa.jpeg#originWidth=5000&originHeight=3337","<h2 class=""font_2"">Top Treatment Centers For Spa</h2>","<p class=""font_7"">Check out our carefully selected list of centers offering treatment for addiction and mental health issues, including depression, anxiety, trauma, and more.</p>","/amenities/spa"
"Internet","3cf5a054-568c-451f-9213-22376dc205a6",2025-01-28T15:27:54Z,2025-02-16T13:33:04Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_b2a140dc68e9423baddd1af429e4f311~mv2.jpg/Controlling%20Room%20Temperature.jpg#originWidth=5000&originHeight=3251","<h2 class=""font_2"">Top Treatment Centers For Internet</h2>","<p class=""font_7"">Check out our carefully selected list of centers offering treatment for addiction and mental health issues, including depression, anxiety, trauma, and more.</p>","/amenities/internet"
"Gardens","3f975fc7-cd6f-4ea9-bc85-9cb265409211",2025-02-19T22:49:59Z,2025-02-19T22:54:27Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d",,"<h2 class=""font_2"">Top Treatment Centers For Gardens</h2>","<p class=""font_7"">Check out our carefully selected list of centers offering treatment for addiction and mental health issues, including depression, anxiety, trauma, and more.</p>","/amenities/gardens"
"Business Center","4b214e43-9aff-4e22-8d88-fd194fd10124",2025-01-28T15:27:30Z,2025-02-16T13:33:17Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_69845c4daff84d2fbaf378897c6fd144~mv2.jpg/Leather%20Notebook.jpg#originWidth=4288&originHeight=2848","<h2 class=""font_2"">Top Treatment Centers For Business Center</h2>","<p class=""font_7"">Check out our carefully selected list of centers offering treatment for addiction and mental health issues like depression, anxiety, trauma, and others.</p>","/amenities/business-center"
"Library","555a0476-b28b-477c-938e-9486320b01b6",2025-04-05T13:07:08Z,2025-04-05T13:07:54Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_5d1fecba3f4b4b839be62aedf182e698~mv2.jpg/Library.jpg#originWidth=6720&originHeight=4480","<h2 class=""font_2"">Top Treatment Centers For Library</h2>","<p class=""font_7"">Check out our carefully selected list of centers offering treatment for addiction and mental health issues, including depression, anxiety, trauma, and more.</p>","/amenities/library"
"Bowling Alley","778167c6-a8e4-48a8-a414-af9fef9a6c5f",2025-04-07T14:56:38Z,2025-04-07T14:57:19Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/b38bc59348f647628ee4f24db1e8136b.jpg/Bowling%20Pins.jpg#originWidth=3504&originHeight=2336","<h2 class=""font_2"">Top Treatment Centers For Bowling Alley</h2>","<p class=""font_7"">Check out our carefully selected list of centers offering treatment for addiction and mental health issues, including depression, anxiety, trauma, and more.</p>","/amenities/bowling-alley"
"Ultra Luxury","7d6d0c75-7f25-402e-a67d-6c9921008ee6",2025-04-06T12:24:03Z,2025-04-06T12:25:02Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_15a65af8b543487195e6e0ee721cf368~mv2.jpg/Luxurious%20Bathroom%20Oasis.jpg#originWidth=2912&originHeight=1632","<h2 class=""font_2"">Top Treatment Centers For Ultra Luxury</h2>","<p class=""font_7"">Check out our carefully selected list of centers offering treatment for addiction and mental health issues, including depression, anxiety, trauma, and more.</p>","/amenities/ultra-luxury"
