"Treatment Services","ID","Created Date","Updated Date","Owner","Title of Level","Description of Level","Image of Level","Level Of cares (Item)"
"Outpatient","21f70f7d-5407-4f72-a351-bb96bac61fbd",2025-01-09T15:04:24Z,2025-02-04T13:27:44Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","<h1 class=""font_0"">Best Outpatient Programs</h1>","<p class=""font_7"">Outpatient care is one of several treatment options available to support your recovery journey. Explore our carefully selected list to find the rehab center that best suits your needs.</p>","wix:image://v1/11062b_17f8de122b984733bfa8a483e43ef666~mv2.jpeg/Holding%20Hands%20Up%20High.jpeg#originWidth=4667&originHeight=3333","/level-of-cares/outpatient"
"In-Home","3f9a7cdc-d031-4f0b-a988-86bbccf3504a",2025-01-09T15:04:25Z,2025-02-04T13:27:47Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","<h1 class=""font_0"">Best In-Home Treatment Programs</h1>","<p class=""font_7"">In-Home is one of several treatment options designed to support you on your recovery journey. Explore our carefully curated list to find the rehab center that best suits your needs.</p>","wix:image://v1/3d31aa393a4e43578ae573ed7302864c.jpg/Nurse%20examining%20patient.jpg#originWidth=3489&originHeight=2327","/level-of-cares/in-home"
"Therapeutic Boarding School","40361467-f754-42d3-b29b-6c7142c7cef5",2025-01-11T13:26:19Z,2025-02-04T13:26:56Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","<h1 class=""font_0"">Best Therapeutic Boarding School</h1>","<p class=""font_7"">A Therapeutic Boarding School is one of the various treatment options designed to aid in your recovery process. Explore our carefully selected list to find the ideal rehab center that suits your requirements.</p>","wix:image://v1/11062b_88c410ddc94c4fa5a6c3eff775fe81d5~mv2.jpg/High%20School%20Friends.jpg#originWidth=5195&originHeight=3463","/level-of-cares/therapeutic-boarding-school"
"Virtual","59161baf-b76d-4e1a-ac7c-e50c3e1ae91c",2025-01-11T13:30:17Z,2025-02-04T13:26:52Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","<h1 class=""font_0"">Best Virtual Treatment Programs</h1>","<p class=""font_7"">Virtual is just one of the many treatment options available to assist you in your recovery process. Check out our handpicked list to discover the ideal rehab center that suits your requirements.</p>","wix:image://v1/11062b_f874bb66407d445489108554bbe84a1f~mv2.jpeg/Virtual%20Team%20Meeting.jpeg#originWidth=6661&originHeight=4441","/level-of-cares/virtual"
"Detox","6287881c-5abd-4989-9f7d-abb8226b595e",2025-01-09T15:04:23Z,2025-02-04T13:27:42Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","<h1 class=""font_0"">Best Detox Centers</h1>","<p class=""font_7"">Detox is just one of the many treatment services designed to support you on your recovery journey. Explore our carefully selected list to find the rehab center that best suits your needs.</p>","wix:image://v1/11062b_483590c72e524e809d7ea683d1cde982~mv2.jpg/Doctor.jpg#originWidth=5120&originHeight=3413","/level-of-cares/detox"
"Outpatient Therapy","7111629c-7903-4cf1-b563-193b5c15d1b0",2025-01-11T11:46:57Z,2025-02-04T13:27:08Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","<h1 class=""font_0"">Best Outpatient Therapy Programs</h1>","<p class=""font_7"">Outpatient therapy is just one of the many treatment options available to assist you on your path to recovery. Explore our carefully selected list to discover the ideal rehab center that suits your needs.</p>","wix:image://v1/11062b_bd4afab5d7774a77b19f9ed2e5fab8e5~mv2.jpg/Therapy.jpg#originWidth=5000&originHeight=3333","/level-of-cares/outpatient-therapy"
"Residential Rehab","8cd2661b-501d-4ae9-a1a2-798d9201a581",2025-01-09T15:04:25Z,2025-02-04T13:27:51Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","<h1 class=""font_0"">Best Residential Rehab Programs</h1>","<p class=""font_7"">Explore our carefully selected list of rehab centers offering detox, residential, and outpatient programs. With insurance coverage for addiction treatment, recovery becomes more accessible and affordable.</p>","wix:image://v1/11062b_92904bb948064d5a9be0411b11ee78ad~mv2.jpg/Chatting%20Over%20Coffee.jpg#originWidth=6558&originHeight=4211","/level-of-cares/residential-rehab"
"Sober Living","8cf537f7-b6df-4cd6-9be6-dccf33409768",2025-01-11T13:23:24Z,2025-02-04T13:26:58Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","<h1 class=""font_0"">Best Sober Living Homes</h1>","<p class=""font_7"">Sober Living is just one of the many treatment options designed to assist you on your path to recovery. Explore our carefully selected list to discover the ideal rehab center that suits your requirements.</p>","wix:image://v1/3a0a0338fadb43588cf4264e476239b5.jpg/Woman%20in%20Plants.jpg#originWidth=4118&originHeight=2735","/level-of-cares/sober-living"
"Intensive Inpatient","94d54ce5-0928-4f40-9142-b41694bd267a",2025-01-11T11:34:03Z,2025-02-04T13:27:09Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","<h1 class=""font_0"">Best Intensive Inpatient Programs</h1>","<p class=""font_7"">Intensive inpatient care is one of the many treatment options designed to support your recovery journey. Browse our carefully curated list to find the rehab center that best suits your needs.</p>","wix:image://v1/11062b_e255c5139f344113a6450f0557697214~mv2.jpeg/Visitation.jpeg#originWidth=6000&originHeight=4000","/level-of-cares/intensive-inpatient"
"Recovery Coaching","c248488e-7c29-4cea-8af1-d1cf4b326538",2025-01-11T12:00:39Z,2025-02-04T13:27:04Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","<h1 class=""font_0"">Best Recovery Coaching Programs</h1>","<p class=""font_7"">Recovery Coaching is among the various treatment services designed to support your recovery journey. Explore our carefully selected list to discover the ideal rehab center for your needs.</p>","wix:image://v1/11062b_604b534bf8aa40b1a4190e336855d35d~mv2.jpeg/Helping%20Hand.jpeg#originWidth=5000&originHeight=3000","/level-of-cares/recovery-coaching"
