"Therapies","ID","Created Date","Updated Date","Owner","Image Of Therapies","Title Of Therapies","Description Of Therapies","Therapies (Item)"
"Neurofeedback","06903a30-6287-4ac1-a747-63b4d45b6576",2025-01-28T16:15:19Z,2025-02-11T10:41:50Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d",,"<h2 class=""font_2"">Top Treatment Centers With Neurofeedback</h2>","<p class=""font_7"">These centers use neurofeedback as part of their treatment plans to help individuals recovering from addiction or mental health issues. Browse our curated list to discover the best rehab facility that suits your needs.</p>","/therapies/neurofeedback"
"Online Therapy","06c41c6f-9a94-4ed4-9b9c-6dba0aaed754",2025-01-28T16:15:47Z,2025-02-11T10:41:57Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d",,"<h2 class=""font_2"">Top Treatment Centers With Online Therapy</h2>","<p class=""font_7"">These centers include online therapy as part of their treatment plans to assist individuals recovering from addiction or mental health issues. Explore our curated list to find the ideal rehab that suits your needs.</p>","/therapies/online-therapy"
"Acupuncture","0762b3da-e526-4fc6-9518-002e1ff3e725",2025-01-28T16:03:50Z,2025-02-11T10:33:57Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d",,"<h2 class=""font_2"">Top Treatment Centers With Acupuncture</h2>","<p class=""font_7"">These centers include acupuncture as part of their treatment programs to assist individuals recovering from addiction or mental health challenges. Explore our carefully curated list to find the ideal rehab for your needs.</p>","/therapies/acupuncture"
"Dialectical Behavior Therapy","08579f5e-f64f-4725-b0d7-4336311ba159",2025-01-28T16:07:23Z,2025-02-11T10:40:27Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d",,"<h2 class=""font_2"">Top Treatment Centers With Dialectical Behavior Therapy</h2>","<p class=""font_7"">These centers include dialectical behavior therapy in their treatment plans to assist individuals in recovering from addiction or mental health issues. Browse our carefully selected list to find the ideal rehab that suits your needs.</p>","/therapies/dialectical-behavior-therapy"
"Didactic Group Therapy","0a4217e8-ceca-4a14-ad8b-22eab6bb91b5",2025-04-06T12:42:58Z,2025-04-06T12:43:40Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/9dc9c0_854f12ce5b19473dbb58bb9aeee959d4~mv2.jpg/support-restart.JPG#originWidth=907&originHeight=593","<h2 class=""font_2"">Top Treatment Centers With Didactic Group Therapy</h2>","<p class=""font_7"">These centers integrate yoga into their treatment programs to assist individuals recovering from addiction or mental health issues. Browse our carefully selected list to find the ideal rehab that suits your needs.</p>","/therapies/didactic-group-therapy"
"Sound Therapy","0e1c3e69-b21e-4de1-ad46-1d5c27f061a4",2025-01-28T16:19:00Z,2025-02-11T10:42:31Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d",,"<h2 class=""font_2"">Top Treatment Centers With Sound Therapy</h2>","<p class=""font_7"">These centers integrate sound therapy into their treatment programs to aid individuals in recovery from addiction or mental health disorders. Browse our carefully selected list to find the ideal rehab that suits your needs.</p>","/therapies/sound-therapy"
"Twelve Step Facilitation","1738eff8-fd69-4e94-b262-7b1f5acbfa98",2025-02-19T21:31:27Z,2025-02-19T21:32:16Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d",,"<h2 class=""font_2"">Top Treatment Centers With Twelve Step Facilitation</h2>","<p class=""font_7"">These centers integrate Twelve Step Facilitation into their treatment programs to assist individuals recovering from addiction or mental health issues. Browse our carefully selected list to find the ideal rehab that suits your needs.</p>","/therapies/twelve-step-facilitation"
"Psychoeducation","1b92e2dc-8ea3-4226-a3a6-fb3923a6ed04",2025-04-06T22:51:07Z,2025-04-06T22:51:25Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d",,"<h2 class=""font_2"">Top Treatment Centers With &nbsp;Psychoeducation</h2>","<p class=""font_7"">These centers integrate yoga into their treatment programs to assist individuals recovering from addiction or mental health issues. Browse our carefully selected list to find the ideal rehab that suits your needs.</p>","/therapies/psychoeducation"
"Relaxation Therapy","1c01423b-fc8b-4783-9a4c-5bfec3656d3c",2025-01-28T16:18:31Z,2025-02-11T10:42:26Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d",,"<h2 class=""font_2"">Top Treatment Centers With Relaxation Therapy</h2>","<p class=""font_7"">These centers include relaxation therapy in their treatment plans to aid individuals recovering from addiction or mental health issues. Browse our carefully selected list to find the ideal rehab that suits your needs.</p>","/therapies/relaxation-therapy"
"Cryotherapy","1eeec77b-1400-41ea-ad8b-3610d58b99b5",2025-01-28T16:07:11Z,2025-02-11T10:40:25Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d",,"<h2 class=""font_2"">Top Treatment Centers With Cryotherapy</h2>","<p class=""font_7"">These centers include cryotherapy in their treatment plans to assist individuals recovering from addiction or mental health disorders. Explore our carefully selected list to find the best rehab facility for your needs.</p>","/therapies/cryotherapy"
"Ayurveda","21a020cd-6f29-4cd4-a2e9-07273f1fe918",2025-01-28T16:05:25Z,2025-02-11T10:34:19Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d",,"<h2 class=""font_2"">Top Treatment Centers With Ayurveda</h2>","<p class=""font_7"">These centers integrate Ayurveda into their treatment programs to assist individuals recovering from addiction or mental health challenges. Explore our carefully curated list to find the ideal rehab for your needs.</p>","/therapies/ayurveda"
"Tai Chi","244c83bf-dc5e-496a-ac50-504043236595",2025-01-28T16:19:36Z,2025-02-11T10:42:43Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d",,"<h2 class=""font_2"">Top Treatment Centers With Tai Chi</h2>","<p class=""font_7"">These centers include tai chi in their treatment programs to assist individuals in recovery from addiction or mental health issues. Browse our curated list to discover the best rehab facility for your needs.</p>","/therapies/tai-chi"
"Experiential Therapy","25a8dbd3-78ca-4570-b54e-70bd0de69bd0",2025-01-28T16:08:21Z,2025-02-11T10:40:38Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d",,"<h2 class=""font_2"">Top Treatment Centers With Experiential Therapy</h2>","<p class=""font_7"">These centers integrate experiential therapy into their treatment plans to assist individuals in recovering from addiction or mental health disorders. Explore our curated list to find the rehab that best suits your needs.</p>","/therapies/experiential-therapy"
"Gestalt Therapy","25c2a465-7a5b-4e23-930a-e43819ff0207",2025-01-28T16:09:42Z,2025-02-11T10:40:52Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d",,"<h2 class=""font_2"">Top Treatment Centers With Gestalt Therapy</h2>","<p class=""font_7"">These centers integrate gestalt therapy into their treatment plans to assist individuals in recovering from addiction or mental health issues. Browse our carefully selected list to find the rehab that best suits your needs.</p>","/therapies/gestalt-therapy"
"Play Therapy","2be0b056-7eff-4be9-acaf-5bfd749f6d5c",2025-01-28T16:16:55Z,2025-02-11T10:42:05Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d",,"<h2 class=""font_2"">Top Treatment Centers With Play Therapy</h2>","<p class=""font_7"">These centers include play therapy in their treatment programs to assist individuals recovering from addiction or mental health issues. Browse our carefully selected list to find the ideal rehab that suits your needs.</p>","/therapies/play-therapy"
